id,department,tenure,job_role,monthly_income,age,overtime,distance_from_home,engagementScore,job_satisfaction,environment_satisfaction,work_life_balance,attrition,comment,sentiment_score,positive_score,neutral_score,negative_score,sentiment,textblob_polarity,textblob_subjectivity,extracted_keywords,overtime_encoded,predicted_engagement,risk_cluster,turnover_risk,attrition_probability
202,Research & Development,7,Manufacturing Director,6804,49,Yes,18,92,4,4,3,0,Great career growth opportunities in Manufacturing Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, director",1,92.32637364983871,1,Low,0.0923325005815468
203,Research & Development,5,Research Scientist,3815,34,Yes,10,90,3,4,4,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,89.76958245794293,1,Low,0.11731180239300155
204,Research & Development,7,Laboratory Technician,2741,40,Yes,19,92,4,3,4,0,Very satisfied with my role after 7 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,92.36944938365079,1,Low,0.12524642449351558
205,Research & Development,1,Healthcare Representative,6673,38,Yes,29,48,1,2,3,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,47.51376851978154,0,Medium,0.3611804033841183
206,Sales,10,Sales Executive,7639,29,No,27,70,4,2,2,1,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,70.09179271193095,1,Low,0.1600633639037093
207,Research & Development,4,Research Scientist,2328,22,Yes,5,65,2,4,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,64.92560615391821,0,Medium,0.2110137651863082
208,Research & Development,8,Laboratory Technician,2153,36,No,18,78,4,2,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,77.53199488193063,1,Low,0.19158599370382104
209,Research & Development,3,Healthcare Representative,4876,40,No,9,78,4,4,1,0,Very satisfied with my role after 3 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,77.47255703485095,1,Low,0.14458526744833258
210,Research & Development,4,Healthcare Representative,9396,46,No,1,62,1,4,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 4 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,62.31488404567327,1,Low,0.12886129227702298
211,Sales,14,Sales Executive,10400,32,No,4,85,4,4,2,1,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,84.90229422487546,2,Low,0.0454908580668451
212,Research & Development,11,Manufacturing Director,8474,30,No,1,75,3,3,3,0,Very satisfied with my role after 11 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,74.9309424439079,1,Low,0.07120902106786292
213,Sales,7,Sales Executive,9981,27,No,20,82,3,4,3,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,82.32322195778934,1,Low,0.09515857386767632
214,Research & Development,10,Research Director,12490,51,No,8,42,2,2,1,0,The work in Research Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, director, challenges, balance, overtime",0,42.64419082758525,0,Medium,0.13662592793207892
215,Research & Development,5,Research Scientist,2657,30,Yes,3,62,1,4,3,1,Decent experience in Research & Development but career advancement opportunities could be better after 5 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,62.3478619752285,1,Low,0.22443133587306835
216,Sales,1,Manager,13591,41,Yes,6,92,4,4,3,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",1,92.30023354548987,1,Low,0.0476173100388957
217,Sales,6,Sales Executive,6696,30,No,26,48,1,3,2,1,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",0,47.50133357084236,0,Medium,0.29365694233054046
218,Research & Development,6,Research Scientist,2058,29,No,1,68,3,3,2,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.51385929765658,1,Low,0.1846350297995899
219,Sales,19,Sales Executive,8865,45,No,6,92,4,4,3,0,Very satisfied with my role after 19 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,92.34259566285708,2,Low,0.03353387446995865
220,Sales,6,Sales Executive,5940,54,No,3,62,1,4,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,62.32709472891093,0,Medium,0.1619231739364387
221,Research & Development,13,Laboratory Technician,5914,36,No,5,80,2,4,4,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,79.7739693873229,1,Low,0.08247976590585455
222,Research & Development,3,Research Scientist,2622,33,No,4,65,2,3,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,64.93804806127743,0,Medium,0.20967357540600545
223,Research & Development,10,Research Director,12185,37,Yes,11,78,4,2,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,77.5066207269091,2,Low,0.06260188249175913
224,Sales,16,Sales Executive,10609,38,No,3,52,3,1,2,0,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",0,52.68830357917992,2,Low,0.08847853131594396
225,Research & Development,5,Manufacturing Director,4345,31,No,1,75,3,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,74.93177842480044,1,Low,0.13673120533843297
226,Research & Development,1,Research Scientist,2177,59,No,3,85,4,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,84.9196457591861,1,Low,0.1526237895893555
227,Sales,9,Sales Representative,2793,37,No,4,70,4,1,3,0,Very satisfied with my role after 9 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,70.12849434629682,1,Low,0.15475167418926059
228,Sales,11,Sales Executive,7918,29,No,1,78,4,2,3,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,77.52235760587104,1,Low,0.07446140404345154
229,Sales,10,Sales Executive,8789,35,No,1,82,3,3,4,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,82.35326928174838,1,Low,0.06211635787468135
230,Research & Development,4,Research Scientist,2389,29,Yes,18,78,4,3,2,1,Very satisfied with my role after 4 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,77.51162080892044,1,Low,0.2019526710683629
231,Research & Development,2,Laboratory Technician,3212,52,No,2,78,4,3,2,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,77.49156313511243,1,Low,0.1585218821437721
232,Research & Development,22,Manager,19232,42,No,4,85,4,3,3,0,Very satisfied with my role after 22 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.90835827642425,2,Low,0.012706082033809032
233,Human Resources,2,Human Resources,2267,59,No,6,60,3,2,2,0,The work in Human Resources is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.16666666666666666,0.5333333333333333,"human, resources, okay, challenges, balance",0,60.09017113291111,0,Medium,0.25476277688153615
234,Sales,7,Manager,19517,50,No,1,85,4,4,2,0,Great career growth opportunities in Manager. The compensation package is competitive and benefits are strong.,0.9423,0.653,0.347,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, manager",0,84.85374018417603,2,Low,0.023816829195501023
235,Research & Development,5,Laboratory Technician,2436,33,Yes,14,70,4,3,1,1,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,70.0797235388259,1,Low,0.22932530411063315
236,Sales,17,Manager,16064,43,Yes,16,92,4,4,3,0,Great career growth opportunities in Manager. The compensation package is competitive and benefits are strong.,0.9423,0.653,0.347,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, manager",1,92.31543419289449,2,Low,0.024507110856598294
237,Research & Development,9,Laboratory Technician,2707,33,No,2,48,1,1,4,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,47.56320237984613,0,Medium,0.24569748401420288
238,Sales,33,Manager,19068,52,Yes,2,68,3,1,4,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",1,67.54408213569982,2,Low,0.011890171075467793
239,Sales,4,Sales Representative,3931,32,No,4,65,2,3,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,64.93588103999794,0,Medium,0.18236793733366335
240,Research & Development,3,Laboratory Technician,3730,32,Yes,1,68,3,4,1,1,Decent experience in Research & Development but career advancement opportunities could be better after 3 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,67.48101426354317,1,Low,0.18433576049204628
241,Research & Development,3,Laboratory Technician,2232,39,No,1,75,3,3,3,0,Very satisfied with my role after 3 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,74.93417231587802,1,Low,0.16785732756018612
242,Sales,3,Sales Executive,4465,32,No,26,85,4,3,3,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,84.92475212685918,1,Low,0.18411248750592302
243,Research & Development,1,Research Scientist,3072,41,No,19,48,1,3,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,47.49499720964011,0,Medium,0.41914785002588356
244,Research & Development,9,Research Scientist,3319,40,No,24,70,4,1,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",0,70.12066477708025,1,Low,0.22756872881595724
245,Research & Development,24,Manager,19202,45,No,1,85,4,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,84.9082187244007,2,Low,0.01156435199394306
246,Research & Development,2,Research Director,13675,31,No,3,68,3,2,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.49129763221589,1,Low,0.08147284916498196
247,Research & Development,2,Research Scientist,2911,33,No,5,78,4,3,2,0,Very satisfied with my role after 2 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,77.50307052455076,1,Low,0.1641398932130541
248,Research & Development,11,Manufacturing Director,5957,34,No,2,62,1,4,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 11 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,62.34257062898087,1,Low,0.13582724247686467
249,Research & Development,3,Research Scientist,3920,37,No,1,48,1,3,2,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,47.5038773674552,0,Medium,0.2638082338301445
250,Research & Development,3,Manufacturing Director,6434,45,No,7,60,3,1,3,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,60.106898703220715,0,Medium,0.18111233779293517
251,Research & Development,1,Manufacturing Director,10048,37,No,10,60,3,1,3,1,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,60.0898119030342,1,Low,0.17005565871195574
252,Research & Development,19,Healthcare Representative,10938,39,No,2,75,3,3,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,74.92948635940401,2,Low,0.043911072731739983
253,Research & Development,6,Research Scientist,2340,29,No,15,85,4,3,3,0,Very satisfied with my role after 6 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.94206030549005,1,Low,0.14984127950508358
254,Research & Development,3,Research Scientist,6545,42,Yes,17,62,1,4,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,62.327368239311376,0,Medium,0.22036983136599883
255,Sales,3,Sales Executive,6931,29,No,20,92,4,4,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,92.32668433949628,1,Low,0.1083676231467341
256,Research & Development,4,Manufacturing Director,4898,25,No,1,60,3,1,3,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,60.12266902800724,0,Medium,0.17761796152400147
257,Research & Development,9,Laboratory Technician,2593,42,Yes,2,62,1,4,3,0,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",1,62.3548354066591,0,Medium,0.1738044728869692
258,Research & Development,21,Research Director,19436,40,No,2,60,3,1,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,60.09564778134933,2,Low,0.02482351323418321
259,Research & Development,1,Research Scientist,2723,51,No,1,78,4,3,2,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,77.49202426129818,1,Low,0.16805327140418874
260,Research & Development,5,Laboratory Technician,3479,31,No,29,72,2,3,4,1,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,72.36255756944189,1,Low,0.2603778986565619
261,Research & Development,5,Laboratory Technician,2794,32,No,7,42,2,2,1,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,42.6717914909906,0,Medium,0.3567303208884809
262,Sales,8,Sales Executive,5249,38,No,2,92,4,4,3,0,Very satisfied with my role after 8 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,92.33978120278647,1,Low,0.06827457460044005
263,Research & Development,6,Laboratory Technician,2176,32,No,2,62,1,4,3,0,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",0,62.3530797009501,0,Medium,0.19982299796246467
264,Sales,7,Manager,16872,46,Yes,2,58,2,3,2,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",1,57.46695717921513,2,Low,0.0589687218220024
265,Research & Development,0,Laboratory Technician,3485,28,No,2,45,3,1,1,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,45.25628973682772,0,Medium,0.344364125310304
266,Sales,0,Sales Executive,6644,29,No,2,50,2,1,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,50.10484148137522,0,Medium,0.2478023277107075
267,Research & Development,9,Healthcare Representative,5582,31,No,23,78,4,2,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,77.52559413884966,1,Low,0.1492804797764808
268,Research & Development,6,Healthcare Representative,4000,25,No,5,48,1,2,3,0,The work in Healthcare Representative is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"healthcare, representative, challenges, balance, overtime",0,47.53598440751783,0,Medium,0.25435419162268946
269,Research & Development,20,Healthcare Representative,13496,45,Yes,20,85,4,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,84.92166161740627,2,Low,0.03605499787339928
270,Research & Development,15,Laboratory Technician,3210,36,No,6,92,4,4,3,0,Great career growth opportunities in Laboratory Technician. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, laboratory",0,92.35476447952553,1,Low,0.07302369476876529
271,Research & Development,36,Manager,19045,55,Yes,1,62,1,4,3,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",1,62.339772352471755,2,Low,0.012283241121922441
272,Research & Development,10,Manager,11849,47,Yes,29,42,2,1,2,1,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",1,42.6718506321443,0,Medium,0.2118197855226738
273,Research & Development,5,Research Scientist,2070,28,No,9,85,4,4,2,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,84.91732671449297,1,Low,0.14882983613184986
274,Sales,5,Sales Executive,6502,37,No,6,92,4,3,4,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,92.35118514096223,1,Low,0.07839591778680279
275,Research & Development,3,Research Scientist,3230,21,No,3,90,3,4,4,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,89.77289633908902,1,Low,0.11347308220642581
276,Research & Development,5,Research Director,13603,37,Yes,1,70,4,1,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,70.08749285619004,2,Low,0.06858718108893955
277,Research & Development,7,Manager,11996,35,No,22,50,2,2,2,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,50.07257513756746,0,Medium,0.18209558531164252
278,Sales,8,Sales Executive,5605,38,Yes,7,40,1,1,3,0,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",1,40.123782670197286,0,Medium,0.26238507478202355
279,Research & Development,6,Manufacturing Director,6397,26,No,1,50,2,3,1,0,Decent experience in Research & Development but career advancement opportunities could be better after 6 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,50.070383540936504,0,Medium,0.2085203167529241
280,Research & Development,10,Research Director,19144,50,No,4,42,2,1,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,42.64490417078461,2,Low,0.07096007462455253
281,Research & Development,5,Research Director,17584,53,Yes,3,68,3,3,2,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,67.45402480733395,2,Low,0.05015464445782577
282,Sales,20,Sales Executive,4907,42,No,1,68,3,2,3,0,Decent experience in Sales but career advancement opportunities could be better after 20 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,67.54261082706934,2,Low,0.0877711320877981
283,Sales,10,Sales Executive,4554,29,No,2,70,4,2,2,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",0,70.10328433780472,1,Low,0.12946987723328143
284,Research & Development,10,Laboratory Technician,5415,55,Yes,20,78,4,2,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,77.52009639482463,1,Low,0.13755532197054554
285,Research & Development,5,Healthcare Representative,4741,26,Yes,11,40,1,1,3,0,The work in Healthcare Representative is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"healthcare, representative, challenges, balance, overtime",1,40.126760555622894,0,Medium,0.3254300439362179
286,Research & Development,17,Research Scientist,2115,37,No,1,92,4,4,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,92.36256317275479,1,Low,0.06555493992263758
287,Research & Development,1,Laboratory Technician,3161,44,Yes,24,68,3,4,1,1,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,67.47291485548621,1,Low,0.30285712399554343
288,Research & Development,2,Healthcare Representative,5745,38,No,23,92,4,4,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,92.32483564137227,1,Low,0.13217085057040948
289,Research & Development,3,Laboratory Technician,2373,26,Yes,16,50,2,1,3,1,Decent experience in Research & Development but career advancement opportunities could be better after 3 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,50.125166613059335,0,Medium,0.3843852104159688
290,Research & Development,5,Research Scientist,3310,28,No,8,92,4,4,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",0,92.3416409728412,1,Low,0.11172404821968322
291,Research & Development,3,Research Director,18665,49,Yes,10,55,1,3,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 3 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,54.877044874441694,2,Low,0.08499978364914812
292,Research & Development,8,Research Scientist,4485,36,No,3,65,2,3,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 8 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,64.93428543837263,1,Low,0.16202432690079263
293,Sales,2,Sales Representative,2789,31,No,5,65,2,4,2,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,64.91425438389514,0,Medium,0.21789657476849936
294,Sales,8,Sales Executive,5828,26,Yes,4,92,4,4,3,1,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",1,92.34214619901763,1,Low,0.0729402212907282
295,Research & Development,4,Research Scientist,2326,37,Yes,9,70,4,2,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,70.09936034948377,1,Low,0.21984441381827258
296,Sales,20,Sales Executive,13525,42,No,26,72,2,3,4,0,Very satisfied with my role after 20 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,72.35208290863585,2,Low,0.05654438625813589
